Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
2015,Child 44,American,Daniel Espinosa,"Tom Hardy
Noomi Rapace
Joel Kinnaman
Gary Oldman",thriller,https://en.wikipedia.org/wiki/Child_44_(film),"In 1933, a child (Xavier Atkins) orphaned during the Ukrainian Holodomor runs away from his orphanage and is taken in by a Red Army unit and adopted by its kindly commander (Mark Lewis Jones), who gives him the name Leo Demidov. In 1945, now a sergeant with the unit, Leo (Tom Hardy) becomes an icon across the Soviet Union when he is photographed planting the Soviet flag atop the Reichstag during the Battle of Berlin. He becomes a Hero of the Soviet Union.
In 1953, Leo, now married to Raisa (Noomi Rapace) and living in Moscow, is a captain in the Ministry of State Security (MGB), commanding a unit tasked with tracking down and arresting dissidents. They arrest a veterinarian, Anatoly Brodsky (Jason Clarke), and during the arrest, one of Leo's subordinates, the cowardly but ambitious Vasili Nikitin (Joel Kinnaman), shoots a farmer, Semyon Okun (Michael Nardone), and his wife in whose barn Brodsky has been hiding, orphaning their two young daughters. Angry, Leo strikes Vasili, who harbours growing resentment against Leo and the other officer in the unit, Alexei Andreyev (Fares Fares); all three were in Berlin together in 1945. Vasili is in charge of Brodsky's interrogation and execution, and one of the names he gives to their superior, Major Kuzmin (Vincent Cassel), is that of Raisa, a primary school teacher, several of whose colleagues have recently been arrested for dissident views. Kuzmin orders Leo to investigate his own wife.
Meanwhile, Alexei's young son, Jora (Zdenek Barinka), is found dead near a railway yard. Although the initial pathology report shows injuries consistent with torture, the surgically precise removal of organs, and drowning, the authorities declare that he was hit by a train, as Stalin has decreed that murder is a capitalist disease; there is no murder in a communist paradise. Alexei is forced to accept the official conclusions to save himself and the rest of his family.
Knowing what the consequences will be, Leo tells his superiors that his investigation has shown that Raisa is innocent of any crime and steadfastly refuses to denounce her. They are both later arrested by Vasili and Alexei and sent into internal exile in the provincial city of Volsk. Leo loses all rank and is forced to become a lowly militiaman under the command of General Nesterov (Gary Oldman), while Raisa is humiliated by becoming a cleaner in a school.
When the body of another child is found near the railway line in Volsk with similar injuries to Jora, Leo begins to realise that a serial killer is on the loose. After discovering that Alexander Pickup (Anssi Lindström), the man who found the body, is a homosexual, Nesterov forces him to denounce every local homosexual he knows; when Pickup, a railway ticket collector, commits suicide by walking in front of a train, the authorities say the case has been solved. However, Leo persuades Nesterov, who has young sons himself, to investigate further, and the two discover that the bodies of at least 43 more children have been found along the railway line from Rostov-on-Don to Moscow.
Meanwhile, Vasili, who now has Leo's old job, calls Raisa and attempts to persuade her to leave Leo and join him in Moscow. When she refuses, Vasili orders an MGB agent to abuse her. Raisa later admits to Leo that she only agreed to marry him because she was afraid to refuse the proposal given his status as an MGB officer.
Leo and Raisa travel in secret to Moscow to interview a woman who reported seeing Jora with a stranger in the railway yards. Although Alexei helps them, the interview is unproductive, as the woman is too frightened to talk. Due to a large MGB and militia presence at the station, the pair ask Raisa's former colleague and friend Ivan Sukov (Nikolaj Lie Kaas), who she knows has contacts among dissident groups, to help them get out of Moscow. However, in his apartment they discover clues that he is in fact an undercover MGB officer (the cause of the arrests in Raisa's school) and that he has called the authorities; Leo kills him and they escape just before Vasili arrives. Leo tells Raisa that she can leave him if she wishes, but she chooses to stay with him.
Leo and Raisa manage to return to Volsk, but there they are arrested by Vasili and his men for Sukov's murder. After being interrogated, Leo and Raisa are put on a train to a gulag. During the train ride, they are attacked by killers on Vasili's orders; after killing their assailants, Leo and Raisa jump off the train. They hitch a lift to Rostov, where the highest concentration of the serial killer's victims has been found; they correctly reason that the killer must work close to the rail yards there and travel the railway lines to Moscow in the course of his work. Vasili forces Alexei to tell him where they are likely to have gone, promising his family will be safe if he does so; Alexei tells him that Rostov is the likely destination before Vasili shoots him.
In the Rostov tractor factory, Leo identifies the killer by cross-referencing workers' travel assignments with the location and date of the murders. Leo and Raisa pursue the killer, Vladimir Malevich (Paddy Considine), into the woods and corner him. He surrenders to them and says he cannot control his urges to kill children, but is suddenly shot in the head by Vasili, who has followed Leo and Raisa. Vasili tries to execute them, but, after a vicious struggle, they kill him. Leo cleverly tells the MGB agents who arrive that Malevich killed Vasili and that he then shot Malevich.
Leo and Raisa are both reinstated in their old jobs and Kuzmin is removed for his failures. Leo is offered a promotion and a promising political position by his new superior, Major Grachev (Charles Dance), if he will agree that Malevich, a former army doctor who spent two years in a German POW camp, was 'turned' by the Germans and sent back to the Soviet Union to wreak havoc there. He refuses the promotion, but requests permission to set up and lead a homicide division in Moscow within the newly created KGB, with the help of General Nesterov. Grachev agrees and Leo in return agrees that Malevich was clearly a Nazi agent. At least he will now have the ability and power to track down and deal with murderers, even if he still cannot openly admit that they are simply murderers and not enemy agents.
Leo and Raisa track down Tamara and Elena Okun, go to the orphanage where they have been living, and adopt them."
2015,Monkey Kingdom,American,Mark Linfield Alastair Fothergill ,Tina Fey,documentary,https://en.wikipedia.org/wiki/Monkey_Kingdom,"Maya is a toque macaque whose world is changed when her son Kip becomes part of her extended family. Maya’s family has its share of diverse personalities and she wishes her son to have the best advantages for advancing within the family's social strata. When their home is overrun by a neighboring tribe of monkeys, the family has to find a new home. Maya uses her inherent smarts to lead the family to new resources, but it develops that the entire group will have to cooperate in order to reclaim their original home, where Maya wishes to advance her son's future within the family."
2015,Paul Blart: Mall Cop 2,American,Andy Fickman,"Kevin James
Neal McDonough
Daniella Alonso
David Henrie",comedy,https://en.wikipedia.org/wiki/Paul_Blart:_Mall_Cop_2,"Paul Blart (Kevin James) narrates his several misfortunes and his hard recovery. His wife Amy (Jayma Mays) divorced him six days into their marriage and to feel better, Paul takes pride in patrolling the West Orange Pavilion Mall. Two years later, his mother Margaret (Shirley Knight) was killed after being hit by a milk truck. Four years after that, as Paul narrates ""he had officially peaked"", he receives an invitation to a security officers' convention in Las Vegas and begins to believe his luck is about to change. His daughter Maya Blart (Raini Rodriguez) discovers that she was accepted into UCLA and plans to move across the country to Los Angeles, but in light of her father's invitation, she decides to withhold the information for now.
After arriving in Las Vegas, Paul and his daughter meet the general manager of Wynn Hotel, a pretty young woman named Divina Martinez (Daniella Alonso), to whom Paul is instantly attracted. He later learns that she's dating the hotel's head of security, Eduardo Furtillo (Eduardo Verástegui). Meanwhile, Maya and the hotel's valet, Lane (David Henrie) become instantly attracted to each other. A security guard from the Mall of America attending the convention, Donna Ericone (Loni Love), is aware of Paul's earlier heroics in the West Orange Pavilion Mall incident and believes Paul will be the likely keynote speaker at the event. However, Paul discovers that another security guard, Nick Panero (Nicholas Turturro), is giving the speech.
In the midst of the convention, a criminal named Vincent Sofel (Neal McDonough) and a gang of accomplices disguised as hotel employees are secretly plotting to steal priceless works of art from the hotel and replace them with replicas, then sell the real ones at auction. In the meantime, Paul has become overprotective of Maya after discovering her flirting with Lane and spies on their conversations. He is later mocked by Eduardo for his lack of professionalism in an event where hotel security was notified when Maya turns up missing. In an ensuing argument with her father, Maya boldly claims she's attending UCLA despite Paul's wishes that she remain close to home at a junior college.
At the convention, Paul, Donna, and three other security guards, Saul Gundermutt (Gary Valentine), Khan Mubi (Shelly Desai), and Gino Chizzeti (Vic Dibitetto) check out the non-lethal security equipment on display. Later, Paul finds Panero drunk hitting on a woman at the bar. Paul attempts to defuse the situation and Panero passes out, giving Paul a chance to be the event's speaker. He contacts Maya asking her to attend, but he learns that she's at a party with Lane. As Paul prepares his speech, Vincent and his cohorts put their plan into motion. Maya absentmindedly walks into the midst of the heist and is taken hostage. Lane is kidnapped as well while searching for her. After a brief fight with an ill-tempered bird in the hotel garden, Paul gives a rousing speech that moves everyone at the convention, as well as Divina, who inexplicably finds herself becoming more attracted to Paul with each passing moment. Following the speech, Paul learns about Maya and Lane's situation and rushes to help but passes out due to his hypoglycemic condition that has plagued him for years.
After recovering, Paul is able to take down several of Vincent's thugs and gathers intel on the group's intentions. Using non-lethal equipment from the convention, he is able to take out more of Vincent's crew. Meanwhile, Maya and Lane overhear Vincent adamantly refusing an oatmeal cookie due to a severe oatmeal allergy. Working with a team – Donna, Saul, Khan, and Gino – Paul is able to clumsily dismantle Vincent's operation, with Maya severely incapacitating Vincent by rubbing oatmeal-infused concealer on his face. Afterward, Paul convinces Divina that her attraction for him is misplaced, and Eduardo is with whom she should really be. Paul also accepts Maya going to UCLA, funding her tuition with the reward money he obtained from Steve Wynn for stopping Vincent. After dropping off Maya at UCLA, Paul falls in love with a passing Mounted Police Officer who reciprocates his advances."
2015,The Road Within,American,Gren Wells,"Robert Sheehan
Dev Patel
Zoë Kravitz",drama,https://en.wikipedia.org/wiki/The_Road_Within,"After his mother's death, Vincent (Robert Sheehan), a teenager with Tourette Syndrome, is enrolled in a behavioural facility by his father. While there he rooms with Alex (Dev Patel), a Brit with obsessive compulsive disorder, and meets Marie (Zoë Kravitz) who is in recovery for an eating disorder.
After a child films Vincent with his cellphone and Vincent attacks him, he and Marie are called into Dr. Rose's office where she chastises them and Marie steals her car keys. When Alex discovers Marie and Vincent running away in the middle of the night, he attempts to warn Dr. Rose and is kidnapped by them. The three of them head towards the ocean where Vincent hopes to scatter his mother's ashes. However Vincent does not remember the exact location of the beachside trip he and his mother made years ago. The trio finally settle on Santa Cruz as their destination.
Dr. Rose informs Vincent's father, Robert, that his son has gone missing and rather than allow the police to apprehend them, she and Robert attempt to track them down. Along the way Marie develops a crush on Vincent.
When they finally reach the ocean Marie collapses before they can reach the water. Marie is hospitalized and while there, the three are reunited with Dr. Rose and Robert. Marie, who is being force fed and has been restrained asks Vincent to run away with her but Vincent refuses. Instead he has a conversation with his father, who apologizes for treating him poorly and decides to stay in Santa Cruz so he can be near Marie. Rather than leave with Dr. Rose, Alex decides to stay with him."
2015,True Story,American,Rupert Goold,"Jonah Hill
James Franco
Felicity Jones
Gretchen Mol",drama,https://en.wikipedia.org/wiki/True_Story_(film),"Christian Longo (James Franco), an Oregon man whose wife and three children have been discovered murdered, is arrested by police in Mexico, where he had been identifying himself as a reporter for the New York Times named Michael Finkel.
In New York City, Michael Finkel (Jonah Hill) is an ambitious and successful reporter. He is confronted by his editors about a story he has written and has featured on the cover of the New York Times Magazine, who accuse him of using a composite character as the focus of his story, a violation of basic reporting principles. Finkel briefly attempts to defend his actions, but he is unsuccessful and is fired. He returns home to his wife (Felicity Jones), and struggles to find work as a journalist due to his public firing from the Times.
Finkel is contacted by a reporter for The Oregonian, who is seeking his opinion on Christian Longo's theft of his identity. Finkel, who was not aware of Longo's case at all, is intrigued, and arranges to meet with Longo in prison. During their first conversation, Longo claims that he has followed Finkel for his entire career and always admired his writing. Longo agrees to tell Finkel his side of the crimes he is accused of, in exchange for writing lessons and Finkel's promise not to share their conversations until after the conclusion of the murder trial.
Finkel becomes increasingly absorbed with Longo, who is likeable but evasive about his guilt. Convinced that the story will be redemptive, Finkel visits Longo in prison and corresponds with him for several months. Longo sends Finkel numerous letters as well as an eighty-page notebook entitled ""Wrong Turns"", which contains what Longo describes as a list of every mistake he has made in his life. Finkel begins to recognize similarities between Longo and himself, their handwriting and drawing, and Longo's letters and Finkel's personal journals. As the trial approaches, Finkel grows increasingly doubtful that Longo is guilty of the murders, and Longo informs Finkel he intends changing his plea to not guilty.
In court, Longo pleads not guilty to two of the murders, but pleads guilty to the murder of his wife and one of his daughters. Finkel confronts Longo, who claims that he can not share everything he knows because he has to protect certain individuals, whom he refuses to name. Greg Ganley (Robert John Burke), the detective who tracked Longo down and arrested him, approaches Finkel, and claims that Longo is an extremely dangerous and manipulative man. He tries to convince Finkel to turn over as evidence all of his correspondence with Longo. Finkel refuses and Ganley does not press him for an explanation.
At the trial, Longo takes the stand and describes his version of the events in detail. He claims that, after an argument with his wife about their financial situation, he had come home to discover two of his children missing, one of his daughters unconscious, and his wife sobbing, saying that she put the children ""in the water"". Longo says that he strangled his wife to death in a blind rage. He says he thought his other daughter was dead at first, but then realized that she was still breathing and strangled her as well because she was all but dead. Finkel's wife, Jill, watches Longo's testimony.
As the jury deliberates, Jill visits Longo in jail and tells him that he is a narcissistic murderer who will never escape who he is.
Longo is found guilty of all four charges and sentenced to death. After he is sentenced, he winks at Finkel, who to his shock and rage, realizes that Longo has been lying throughout their conversations, using him in order to make his testimony more believable. A short time later, Finkel meets Longo on death row. Longo tries to convince Finkel that he discovered his wife strangling their daughter and then blacked out, so that he has no memory of the murders. Finkel angrily tells Longo that he will not believe any more of his lies and will warn the judge when Longo appeals his sentence of Longo's manipulative nature. Longo retorts by pointing out the success Finkel has had with his book about their encounters, leaving the reporter shaken.
Finkel reads a section of his book, entitled True Story, at a promotional event in a bookstore. Taking questions from the audience, he imagines Longo standing in the back of the room. Longo says that, if he has lost his freedom, Finkel must have lost something as well. Finkel is unable to respond.
Title cards reveal that Longo admitted, a year later, to killing his entire family. Although Finkel never wrote for the ""New York Times"" again, Longo has contributed articles to a number of publications from death row, including the ""New York Times."" The final title card reads that Finkel and Longo still speak on the first Sunday of every month."
2015,Unfriended,American,Levan Gabriadze,"Shelley Hennig
Moses Jacob
Renee Olstead
Will Peltz",horror,https://en.wikipedia.org/wiki/Unfriended,"The story is told through Blaire's laptop screen. A year ago, high school student Laura Barns commits suicide after an anonymous user uploads a viral video of her passing out and defecating herself at an unsupervised party. On her death anniversary one year later, her former childhood best friend Blaire Lily is chatting with her boyfriend Mitch Roussel on Skype, during which they agree to lose their virginities to each other on prom night. Soon after, they are joined by their friends/classmates Jess Felton, Ken Smith, and Adam Sewell and an unknown user named ""billie227,"" which they dismiss as a glitch after several unsuccessful attempts to disconnect it. After Mitch and Blaire receive messages from Laura's Facebook account and discovers ""billie227"" is Laura's Skype account, the entire group suspects their classmate Val Rommel is pranking them.
After they invite Val to their chat, Jess's Facebook page is updated with racy photos of Val at a party. Jess denies uploading the photos and deletes them from her account, but the pictures reappear on Adam's account. ""billie227"" starts chatting with them and sends Val a message. Val reacts negatively, calls the police, and signs off. They each receive a link of an Instagram post showing a photo of Val and Laura's messages, with Val telling Laura to kill herself. ""billie227"" says they all have dark secrets, sending each of them an email that leaves them unnerved; Blaire receives photos of her and Adam's affair. Val is suddenly brought back into the chat, sitting still next to a bottle of bleach before collapsing. From the police's arrival and voice, they deduce that Val died from a presumed suicide. Ken uses a program to remove ""billie227"" from the chat, but after they attempt to call the police, the police on the other end implies she is ""billie227"" and re-enters the chat, revealing a camera view which appears to come from the other side of his room. He approaches the camera source, but his Skype is disconnected and reconnects showing him shredding his hand inside an active blender before using the blades to claw out his throat; killing himself in the process.
""billie227"" forces the remaining four to play a game of Never Have I Ever, stating that the loser will die. They are forced to reveal hurtful secrets which reveal their backstabbing against each other. Mitch and a drunken Adam argue despite Blaire's pleas for them to calm down, and Adam uses the game to force Blaire to reveal that she is no longer a virgin, having slept with him behind Mitch's back, with ""billie227"" uploading a YouTube video of their tryst. Blaire and Adam receive messages sent to their printers which they refuse to show to Mitch and Jess. Mitch threatens to leave if Blaire does not show the note; ""billie227"" warns that Mitch will die if he signs off. In a moment of panic, Blaire shows her paper: ""If you reveal this note, Adam will die."" Adam shoots himself, revealing the same note except it was for Blaire.
When Blaire convinces Jess not to continue playing, ""billie227"" cuts the lights in Jess's house and disconnects her video feed. Blaire looks for help on Chatroulette and has a stranger send police to Jess' house. Soon after, Blaire receives a video of Jess with a curling iron forced down her throat. ""billie227"", now revealed to be Laura herself, messages Blaire and Mitch, wanting them to confess who uploaded the video in the first place. Blaire considers denying involvement, but eventually tells her that Mitch was the one who posted it; Mitch grabs a knife and stabs himself in the eye. Laura starts a countdown timer and Blaire desperately tries to stop her, reminding her of their closeness when they were just kids until they drifted apart for unknown reasons. Laura tells her they didn't ""drift apart"" and uploads a video which reveals Blaire recorded the defecation video. Blaire's Facebook friends turn against her. Laura says what Blaire has done will live online forever and wishes she could forgive her, before signing off Skype. Blaire's bedroom door creaks open and a pair of hands slam her laptop shut. As Blaire whispers ""Laura"" in fear, a spirit violently lunges at her as the screen cuts to black."
2015,Adult Beginners,American,Ross Katz,"Nick Kroll
Rose Byrne
Bobby Cannavale
Joel McHale",comedy,https://en.wikipedia.org/wiki/Adult_Beginners,"After his company crashes and burns on the eve of its big launch, hipster entrepreneur Jake (Kroll) moves in with his estranged pregnant sister, Justine (Byrne), brother-in-law, Danny (Cannavale), and three year-old nephew in the suburbs where he is faced with the pressure of real responsibility."
2015,Blackbird,American,Patrik-Ian Polk,"Julian Walker
Mo'Nique
Isaiah Washington
Kevin Alessee",drama,https://en.wikipedia.org/wiki/Blackbird_(2014_film),"The story of a gay teen in high school in a small baptist town in Mississippi, struggling between his religion and his sexuality. To make matters worse, his younger sister has been missing for years and it's tearing his family apart."
2015,Little Boy,American,Alejandro Gómez Monteverde,"David Henrie
Kevin James
Emily Watson
Ted Levine",war,https://en.wikipedia.org/wiki/Little_Boy_(film),"In the seaside town of O'Hare, California, an 8-year-old boy who is small for his age, Pepper Flynt Busbee (Jakob Salvati), has a very close relationship with James, his loving father, which begins from the very moment he is born when his father cradles him in his arms and notices how small he is. When Pepper asks a doctor if he has dwarfism, the doctor tells him, ""For now, Pepper, let's just say you're a 'little boy',"" this expression would become Pepper's nickname. He would learn to despise those two words and always make a problem when someone would call out his nickname.
However, when World War II begins, Pepper's older brother is declared ineligible for military service because of flat feet and his father joins in his place, which devastates Pepper.[5] Not long after his father leaves for war, Pepper hears the Bible verse, ""Truly I tell you, if you have faith as small as a mustard seed, you can say to this mountain, ‘Move from here to there,’ and it will move"" (Matthew 17:20), he becomes determined to get enough faith to bring his father home. Nevertheless, as his friend and mentor Father Oliver tells him, faith is useless to anyone who harbors hatred. Father Oliver tells Pepper to befriend a Japanese man named Hashimoto.
At first, the anti-Japanese sentiment Pepper has internalized - which has become prevalent in his society - makes him hesitant to follow this advice, but as he gets to know Hashimoto, he begins to value their friendship and learns from Hashimoto to stand up to those who bully him about his height. Father Oliver gave Pepper a list of tasks to complete. When Pepper's father is reported missing in action, Pepper's mother (Emily Watson) struggles to keep her family together in the face of these overwhelming hardships. His brother London, and Sam - one of the townspeople that lost a son - go to Hashimoto's home and attack him one night, leading to him being hospitalized. London is initially arrested, but Hashimoto decides not to press charges and he is released.
An Army representative brings the news that Pepper's father has been killed and is buried in the Philippines. Hashimoto goes to the memorial service at the O'Hare Cemetery to pay his respects. Pepper and Hashimoto sit on a bench and discuss their mutual losses of family and believing in something. Pepper goes back to the cemetery to visit his father's grave and place the list on top of his grave marker. Pepper and his mother go to the doctor, where the town doctor, Dr. Fox tries to hit on her and invite himself over to the house that evening under the pretext of talking about what could possibly be the cause of Pepper's short stature.
Later that day, a spokesperson from the Army arrives to tell her that her husband didn't die after all. The man that actually died had stolen Pepper's father's boots, with his dog tags attached to the laces, when he fell after being shot, so he was misidentified as Pepper's father. The family leaves town to visit James in the hospital and Pepper takes him the boots that James had been eyeing for some time, which Pepper bought for him after he went off to war. Upon arriving, they realize that James has suffered from mild amnesia due to an injury to the head. However, Pepper calls his father by his longtime nickname, ""partner"", and presents him his gift. James holds the boots, then hugs Pepper and touches the faces of the rest of his family. They all kneel around his chair and share a group hug, before driving him back to O'Hare."
2015,The Age of Adaline,American,Lee Toland Krieger,"Blake Lively
Harrison Ford
Michiel Huisman",romance,https://en.wikipedia.org/wiki/The_Age_of_Adaline,"One afternoon in San Francisco, Adaline Bowman purchases fake IDs at an apartment before returning home to feed her dog. She then goes to work and opens a box of film reels, including one that explains her life. She was born on New Years Day 1908, then later married and gave birth to a daughter, only to become a widow after her husband died in a tragic accident. Years later, in 1937, Adaline crashed her car when she swerved into a ravine during a snowstorm and died in the freezing lake nearby, but a lightning strike suddenly revived her. From that moment on, Adaline has stayed physically 29 years old.
Ever since, she has changed her identification and address according to the era, while her daughter Flemming ages normally, appearing older than Adaline. One night, two suspicious FBI agents attempt to force her onto an airplane for study, but she escapes captivity and realizes that she will have to spend the rest of her life on the run.
On New Year's Eve in the present year, she attends a party where she meets Ellis Jones, introducing herself as her current alias, Jennifer. He asks to see her again but she refuses, knowing she can never fall in love because she can never have a normal future with someone. The next day at work, Ellis arrives and again asks Adaline to go on a date with him. Finally she accepts.
In a flashback, Adaline is shown pulling up in a cab to a park where a man is waiting, holding an engagement ring. Scared, she asks the cab driver to keep going. Back in the present day, Adaline's dog falls ill and she begins to ignore Ellis' calls. He shows up at her apartment but she pushes him away, only to have a change of heart while looking through some old photographs and realizing she doesn't want to live the same year a hundred times without having a natural life.
They later resolve their argument and Ellis asks Adaline to attend the party at his parents' house celebrating his parents' fortieth anniversary, and she says yes. Upon their arrival, Ellis introduces her to his father, William, who recognizes her instantly and calls her Adaline. She appears to recognize him, too, but lies, telling him that Adaline was her mother, who has since died. A flashback shows how they met and came to be in love, soon revealing that he was the man with the engagement ring she stood up that afternoon. One night, Ellis tells Adaline he is falling in love with her and she is unsure of how to react.
The following day, Adaline talks with William outside and he notices a scar on her left hand, and becomes shaken. Another flashback reveals that Adaline cut her hand while they were hiking decades ago and he had stitched it up himself. He realizes that she is truly Adaline and confronts her. She becomes upset, claiming she used to be ""normal"" and doesn't know what changed her. He begs her not to run, for Ellis' sake, but she says she doesn't know how to stay. She flees and returns to the house, writing a note to Ellis while he showers, then she packs her things and leaves. Moments later, Ellis finds the letter and confronts his father, who refuses to explain.
While driving home, Adaline thinks of all the times she has run and suddenly has a change of heart about the way she lives her life. She stops and calls her daughter to tell her she is going to stop running. As she turns the car around, a tow truck plows into her in a hit-and-run accident, leaving her to die. Freezing and helpless, Adaline dies again. An ambulance arrives and she is revived by the electricity of the defibrillator. Later in the hospital, she wakes up to Ellis, and the two profess their love for one another. Adaline then tells him of her 107 years of life.
One year later, Ellis and Adaline are going to a New Year's Eve party. As she is leaving, she notices something strange in the hallway mirror: her first grey hair, proving she has begun to age naturally again. When Ellis asks if she is okay, she responds: ""Yes... Perfect."""
